title,Год выпуска,Поколение,Пробег,История пробега,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен,Оценка,пробег_история,ДТП,другое_история,тех_история,sold,Метро,ПТС
"Kia K900 3.3 AT, 2019, 91 037 км, с пробегом, цена 2 999 000 руб. - Автомобили в Москве",2019,II (2018—2022),91 037 км,8 записей в отчёте Автотеки,2,Не битый,3.3 4WD AT (249 л.с.),3.3 л,Бензин,Автомат,Полный,Premium,Седан,Чёрный,Левый,XWES*************,Возможен,2 999 000 ₽ — соответствует оценке Авито,8 записей с 2020 года,ДТП не найдены,2 владельца по ПТС,4 записи с описанием работ,1 раз продавался на Авито,Аннино:6–10 мин.;Лесопарковая:11–15 мин.;Улица Старокачаловская:21–30 мин.,
"Mercedes-Benz V-класс 2.1 AT, 2017, 95 250 км, с пробегом, цена 5 650 000 руб. - Автомобили в Москве",2017,W447 (2014—2024),95 250 км,19 записей в отчёте Автотеки,2,Не битый,V 250 d 2.1 4MATIC AT L3 (190 л.с.),2.1 л,Дизель,Автомат,Полный,Avantgarde,Минивэн,Чёрный,Левый,WDF4*************,Не интересует,5 650 000 ₽ — соответствует оценке Авито,19 записей с 2019 года,,,19 записей с описанием работ,,Проспект Вернадского:до 5 мин.;Новаторская:16–20 мин.;Мичуринский проспект:21–30 мин.,Оригинал
"Opel Astra GTC 1.4 AT, 2013, 113 000 км, с пробегом, цена 699 000 руб. - Автомобили в Москве",2013,J рестайлинг (2011—2017),113 000 км,6 записей в отчёте Автотеки,2,Не битый,1.4 Turbo AT (140 л.с.),1.4 л,Бензин,Автомат,Передний,Sport,Хетчбек 3-дверный,Красный,Левый,XWFP*************,Возможен,699 000 ₽ — цена ниже Авито Оценки,6 записей с 2017 года,ДТП не найдены,,,3 раза продавался на Авито,Южная:11–15 мин.;Чертановская:21–30 мин.;Пражская:21–30 мин.,
"Volkswagen Tiguan 2.0 AT, 2015, 165 000 км, с пробегом, цена 1 195 000 руб. - Автомобили в Москве",2015,I рестайлинг (2011—2019),165 000 км,9 записей в отчёте Автотеки,2,Не битый,2.0 TDI 4Motion AT (140 л.с.),2 л,Дизель,Автомат,Полный,Базовая,Внедорожник 5-дверный,Белый,Левый,XW8Z*************,Возможен,1 195 000 ₽ — цена ниже Авито Оценки,9 записей с 2016 года,,2 владельца по ПТС,5 записей с описанием работ,1 раз продавался на Авито,Волоколамская:16–20 мин.;Мякинино:от 31 мин.;Тушинская:от 31 мин.,
"Ford Kuga 1.5 AT, 2018, 103 000 км, с пробегом, цена 1 780 000 руб. - Автомобили в Москве",2018,II рестайлинг (2016—2019),103 000 км,16 записей в отчёте Автотеки,1,Не битый,1.5 EcoBoost 4WD AT (150 л.с.),1.5 л,Бензин,Автомат,Полный,Trend Plus,Внедорожник 5-дверный,Белый,Левый,Z6FA*************,0,1 780 000 ₽ — соответствует оценке Авито,16 записей с 2018 года,,1 владелец по ПТС,10 записей с описанием работ,1 раз продавался на Авито,Ховрино:до 5 мин.;Беломорская:21–30 мин.;Речной вокзал:от 31 мин.,Оригинал
"Kia Ceed 1.6 AT, 2015, 63 000 км, с пробегом, цена 935 000 руб. - Автомобили в Москве",2015,JD рестайлинг (2015—2018),63 000 км,12 записей в отчёте Автотеки,2,Не битый,1.6 AT (130 л.с.),1.6 л,Бензин,Автомат,Передний,Luxe,Хетчбек 5-дверный,Синий,Левый,XWEH*************,Возможен,935 000 ₽ — цена ниже Авито Оценки,12 записей с 2016 года,,2 владельца по ПТС,1 запись с описанием работ,2 раза продавался на Авито,Южная:6–10 мин.;Пражская:6–10 мин.;Улица академика Янгеля:от 31 мин.,
"Kia Sportage 2.0 AT, 2012, 155 000 км, с пробегом, цена 1 065 000 руб. - Автомобили в Москве",2012,III (2010—2014),155 000 км,7 записей в отчёте Автотеки,1,Не битый,2.0 4WD AT (150 л.с.),2 л,Бензин,Автомат,Полный,Prestige,Внедорожник 5-дверный,Серебряный,Левый,XWEP*************,Возможен,1 065 000 ₽ — цена ниже Авито Оценки,7 записей с 2017 года,,,1 запись с описанием работ,2 раза продавался на Авито,Волоколамская:16–20 мин.;Мякинино:от 31 мин.;Тушинская:от 31 мин.,
"Kia Quoris 3.8 AT, 2016, 134 000 км, с пробегом, цена 1 499 000 руб. - Автомобили в Москве",2016,I рестайлинг 2 (2015—2018),134 000 км,23 записи в отчёте Автотеки,2,Не битый,3.8 AT (334 л.с.),3.8 л,Бензин,Автомат,Задний,Premium,Седан,Коричневый,Левый,XWEL*************,Возможен,1 499 000 ₽ — цена ниже Авито Оценки,23 записи с 2018 года,,,13 записей с описанием работ,3 раза продавался на Авито,Южная:11–15 мин.;Чертановская:21–30 мин.;Пражская:21–30 мин.,
"Hyundai ix35 2.0 AT, 2010, 214 973 км, с пробегом, цена 1 170 000 руб. - Автомобили в Москве",2010,I (2009—2013),214 973 км,12 записей в отчёте Автотеки,3,Не битый,2.0 AT (150 л.с.),2 л,Бензин,Автомат,Передний,Travel,Внедорожник 5-дверный,Белый,Левый,U5YZ*************,Не интересует,1 170 000 ₽ — цена выше Авито Оценки,12 записей с 2013 года,ДТП не найдены,3 владельца по ПТС,2 записи с описанием работ,4 раза продавался на Авито,Народное Ополчение:6–10 мин.;Хорошёво:11–15 мин.;Хорошёвская:21–30 мин.,Оригинал
"Citroen C4 1.6 AT, 2011, 136 300 км, с пробегом, цена 755 000 руб. - Автомобили в Москве",2011,II (2010—2016),136 300 км,6 записей в отчёте Автотеки,2,Не битый,1.6 AT (120 л.с.),1.6 л,Бензин,Автомат,Передний,Optimum,Хетчбек 5-дверный,Коричневый,Левый,Z8TN*************,Не интересует,755 000 ₽ — цена выше Авито Оценки,6 записей с 2016 года,,2 владельца по ПТС,1 запись с описанием работ,,Перово:16–20 мин.;Новогиреево:16–20 мин.;Рязанский проспект:от 31 мин.,
