,title,year,age,run,history,owners_pts,modification,volume,engine_type,transmission,gear,body,color,wheel,exchange,mark,accident,other_history,tech_history,sold,pts_type,price,horse_power
0,Kia K900 3.3 AT,2019,II,91037,8.0,2,3.3 4WD AT,3.3,Бензин,Автомат,Полный,Седан,Чёрный,Левый,Возможен,соответствует,1,2,4,1,Другое,2999000,249
1,Mercedes-Benz V-класс 2.1 AT,2017,W447,95250,19.0,2,V 250 d 2.1 4MATIC AT L3,2.1,Дизель,Автомат,Полный,Minivan,Чёрный,Левый,Не интересует,соответствует,0,2,19,2,Оригинал,5650000,190
2,Opel Astra GTC 1.4 AT,2013,J рестайлинг,113000,6.0,2,1.4 Turbo AT,1.4,Бензин,Автомат,Передний,Хэтчбек,Красный,Левый,Возможен,ниже,1,2,5,3,Другое,699000,140
3,Volkswagen Tiguan 2.0 AT,2015,I рестайлинг,165000,9.0,2,2.0 TDI 4Motion AT,2.0,Дизель,Автомат,Полный,Внедорожник,Белый,Левый,Возможен,ниже,0,2,5,1,Другое,1195000,140
4,Ford Kuga 1.5 AT,2018,II рестайлинг,103000,16.0,1,1.5 EcoBoost 4WD AT,1.5,Бензин,Автомат,Полный,Внедорожник,Белый,Левый,другое,соответствует,0,1,10,1,Оригинал,1780000,150
5,Kia Ceed 1.6 AT,2015,JD рестайлинг,63000,12.0,2,1.6 AT,1.6,Бензин,Автомат,Передний,Хэтчбек,Синий,Левый,Возможен,ниже,0,2,1,2,Другое,935000,130
6,Kia Sportage 2.0 AT,2012,III,155000,7.0,1,2.0 4WD AT,2.0,Бензин,Автомат,Полный,Внедорожник,Серебряный,Левый,Возможен,ниже,0,2,1,2,Другое,1065000,150
7,Kia Quoris 3.8 AT,2016,I рестайлинг 2,134000,23.0,2,3.8 AT,3.8,Бензин,Автомат,Задний,Седан,Коричневый,Левый,Возможен,ниже,0,2,13,3,Другое,1499000,334
8,Hyundai ix35 2.0 AT,2010,I,214973,12.0,3,2.0 AT,2.0,Бензин,Автомат,Передний,Внедорожник,Белый,Левый,Не интересует,выше,1,3,2,4,Оригинал,1170000,150
9,Citroen C4 1.6 AT,2011,II,136300,6.0,2,1.6 AT,1.6,Бензин,Автомат,Передний,Хэтчбек,Коричневый,Левый,Не интересует,выше,0,2,1,2,Другое,755000,120
10,Kia Rio 1.6 AT,2017,IV,102000,5.0,1,1.6 AT,1.6,Бензин,Автомат,Передний,Седан,Чёрный,Левый,Возможен,ниже,1,1,5,2,Другое,1055000,123
11,Volkswagen Tiguan 1.4 AMT,2019,II,38000,3.0,1,1.4 TSI DSG,1.4,Бензин,Робот,Передний,Внедорожник,Коричневый,Левый,Не интересует,выше,1,1,2,1,Электронный,2790000,150
12,Lexus LX 5.7 AT,2012,J200 рестайлинг,210000,13.0,3,LX 570 5.7 4WD AT,5.7,Бензин,Автомат,Полный,Внедорожник,Чёрный,Левый,Не интересует,выше,0,2,12,2,Оригинал,4390000,367
13,Iveco Daily 3.0 MT,2017,VI,200000,5.0,2,3.0 D MT,3.0,Дизель,Механика,Задний,Van,Белый,Левый,Не интересует,выше,0,2,5,3,Оригинал,3600000,146
14,MINI Cooper S 2.0 AT,2014,III,110000,43.0,4+,2.0 AT,2.0,Бензин,Автомат,Передний,Хэтчбек,Синий,Левый,Возможен,выше,0,4,41,4,Оригинал,1750000,192
15,Toyota Land Cruiser Prado 3.0 AT,2015,150 рестайлинг,140000,29.0,1,3.0 D AT,3.0,Дизель,Автомат,Полный,Внедорожник,Белый,Левый,Возможен,соответствует,1,1,27,1,Другое,3099000,173
16,Hyundai Grand Starex 2.5 AT,2011,I,170000,3.0,4+,2.5 CRDi AT,2.5,Дизель,Автомат,Задний,Minivan,Чёрный,Левый,Возможен,выше,1,4,5,2,Другое,1620000,145
17,Nissan X-Trail 1.5 CVT,2021,IV,12409,11.267396907216495,1,1.5 4WD CVT,1.5,Бензин,Вариатор,Полный,Внедорожник,Серый,Левый,другое,нет оценки,0,2,5,2,Другое,3450000,204
18,Mercedes-Benz M-класс 3.0 AT,2011,W164 рестайлинг,184000,52.0,4+,ML 300d 3.0 4MATIC 7G-Tronic,3.0,Дизель,Автомат,Полный,Внедорожник,Серый,Левый,Возможен,соответствует,0,4,47,7,Оригинал,1450000,190
19,LiXiang L9 1.5 AT,2024,I рестайлинг,1,11.267396907216495,1,1.5hyb 4WD AT,1.5,другое,Автомат,Полный,Внедорожник,Чёрный,Левый,другое,нет оценки,0,2,5,2,Оригинал,8510000,449
20,Mercedes-Benz GL-класс 3.0 AT,2013,X166,191000,12.0,3,GL 350d 3.0 4MATIC 7G-Tronic,3.0,Дизель,Автомат,Полный,Внедорожник,Коричневый,Левый,Не интересует,выше,0,3,2,3,Оригинал,3245000,249
21,Land Rover Discovery 3.0 AT,2017,V,102000,5.0,1,3.0 TD AT,3.0,Дизель,Автомат,Полный,Внедорожник,Серый,Левый,Возможен,нет оценки,1,1,5,2,Оригинал,3700000,258
22,Kia Rio 1.6 AT,2016,III рестайлинг,73175,6.0,1,1.6 AT,1.6,Бензин,Автомат,Передний,Седан,Серебряный,Левый,другое,ниже,1,1,5,1,Другое,1050000,123
23,Infiniti FX37 3.7 AT,2011,II,285994,12.0,3,3.7 4WD AT,3.7,Бензин,Автомат,Полный,Внедорожник,Чёрный,Левый,Возможен,выше,0,2,5,2,Оригинал,1975000,333
24,BMW X6 3.0 AT,2020,G06,36500,4.0,1,40d 3.0 Steptronic,3.0,Дизель,Автомат,Полный,Внедорожник,Белый,Левый,Не интересует,выше,0,1,7,2,Оригинал,10500000,340
25,Nissan Murano 3.5 CVT,2013,Z51 рестайлинг 2,187000,11.0,4+,3.5 4WD CVT,3.5,Бензин,Вариатор,Полный,Внедорожник,Серый,Левый,Не интересует,соответствует,0,6,5,3,Дубликат,1420000,249
26,Volkswagen Touran 1.4 AMT,2012,II,129000,22.0,2,1.4 TSI DSG,1.4,Бензин,Робот,Передний,Minivan,Коричневый,Левый,Возможен,ниже,0,2,14,3,Другое,899000,140
27,Kia Sportage 2.0 AT,2016,IV,84452,9.0,1,2.0 AT,2.0,Бензин,Автомат,Передний,Внедорожник,Белый,Левый,другое,ниже,1,1,1,1,Оригинал,1250000,150
28,Lexus LX 4.5 AT,2016,J200 рестайлинг 2,158430,35.0,2,LX 450d 4.5 4WD AT Arctic Trucks,4.5,Дизель,Автомат,Полный,Внедорожник,Белый,Левый,Возможен,нет оценки,0,2,35,1,Другое,6195000,272
29,BMW 5 серия 2.0 AT,2022,G30/G31 рестайлинг,8700,2.0,1,530i 2.0 xDrive Steptronic,2.0,Бензин,Автомат,Полный,Седан,Чёрный,Левый,Не интересует,нет оценки,1,2,5,2,Электронный,6700000,249
30,BMW X3 2.0 AT,2019,G01,68870,5.0,1,30i 2.0 sDrive Steptronic,2.0,Бензин,Автомат,Задний,Внедорожник,Белый,Левый,Не интересует,ниже,1,2,5,3,Электронный,3000000,252
31,Mazda CX-5 2.5 AT,2013,I,93000,5.0,1,2.5 4WD AT,2.5,Бензин,Автомат,Полный,Внедорожник,Чёрный,Левый,Возможен,ниже,0,1,5,1,Другое,1249000,192
32,Land Rover Range Rover 4.4 AT,2005,III,218300,12.0,4+,4.4 AT,4.4,Бензин,Автомат,Полный,Внедорожник,Чёрный,Левый,Не интересует,выше,0,5,1,2,Оригинал,1270000,286
33,Mazda 6 2.0 AT,2014,GJ,144629,11.0,1,2.0 AT,2.0,Бензин,Автомат,Передний,Седан,Белый,Левый,Возможен,нет оценки,1,1,11,2,Другое,1199000,145
34,Ford Focus 2.0 AT,2010,II рестайлинг,158411,16.0,1,2.0 AT,2.0,Бензин,Автомат,Передний,Седан,Белый,Левый,Возможен,соответствует,0,1,15,2,Другое,599000,145
35,Peugeot 3008 1.6 AT,2014,I рестайлинг,128000,6.0,2,1.6 AT,1.6,Бензин,Автомат,Передний,Внедорожник,Белый,Левый,Возможен,соответствует,0,2,5,1,Другое,889000,150
36,BMW 3 серия 2.0 AT,2018,F30/F31 рестайлинг,97124,19.0,2,330i 2.0 xDrive Steptronic,2.0,Бензин,Автомат,Полный,Седан,Синий,Левый,Возможен,ниже,1,2,14,2,Другое,2049000,249
37,Mercedes-Benz E-класс 3.5 AT,2012,W212/S212/C207/A207,159000,43.0,2,E 350 3.5 4MATIC 7G-Tronic,3.5,Бензин,Автомат,Полный,Седан,Коричневый,Левый,Возможен,соответствует,1,2,34,3,Другое,1449000,306
38,Volkswagen Multivan 2.5 AT,2008,T5,189500,6.0,3,2.5 TDI AT,2.5,Дизель,Автомат,Передний,Minivan,Серый,Левый,Не интересует,выше,0,2,5,2,Оригинал,1690000,131
