,title,year,age,run,owners_pts,modification,volume,engine_type,transmission,gear,body,color,exchange,mark,other_history,tech_history,sold,subway,pts_type,price,horse_power,price_log
0,Kia K900 3.3 AT,2019,II,91037,2,3.3 4WD AT,3.3,0,Автомат,Полный,Седан,Чёрный,Возможен,соответствует,2,4,1,Аннино:6–10 мин.;Лесопарковая:11–15 мин.;Улица Старокачаловская:21–30 мин.,Другое,2999000,249,14.91378979117557
1,Mercedes-Benz V-класс 2.1 AT,2017,W447,95250,2,V 250 d 2.1 4MATIC AT L3,2.1,1,Автомат,Полный,Minivan,Чёрный,Не интересует,соответствует,2,19,2,Проспект Вернадского:до 5 мин.;Новаторская:16–20 мин.;Мичуринский проспект:21–30 мин.,Оригинал,5650000,190,15.547166280113757
2,Opel Astra GTC 1.4 AT,2013,J рестайлинг,113000,2,1.4 Turbo AT,1.4,0,Автомат,Передний,Хэтчбек,Красный,Возможен,ниже,2,5,3,Южная:11–15 мин.;Чертановская:21–30 мин.;Пражская:21–30 мин.,Другое,699000,140,13.457407451830088
3,Volkswagen Tiguan 2.0 AT,2015,I рестайлинг,165000,2,2.0 TDI 4Motion AT,2.0,1,Автомат,Полный,Внедорожник,Белый,Возможен,ниже,2,5,1,Волоколамская:16–20 мин.;Мякинино:от 31 мин.;Тушинская:от 31 мин.,Другое,1195000,140,13.993657580167483
4,Ford Kuga 1.5 AT,2018,II рестайлинг,103000,1,1.5 EcoBoost 4WD AT,1.5,0,Автомат,Полный,Внедорожник,Белый,другое,соответствует,1,10,1,Ховрино:до 5 мин.;Беломорская:21–30 мин.;Речной вокзал:от 31 мин.,Оригинал,1780000,150,14.392124484065862
5,Kia Ceed 1.6 AT,2015,JD рестайлинг,63000,2,1.6 AT,1.6,0,Автомат,Передний,Хэтчбек,Синий,Возможен,ниже,2,1,2,Южная:6–10 мин.;Пражская:6–10 мин.;Улица академика Янгеля:от 31 мин.,Другое,935000,130,13.74830287778897
6,Kia Sportage 2.0 AT,2012,III,155000,1,2.0 4WD AT,2.0,0,Автомат,Полный,Внедорожник,Серебряный,Возможен,ниже,2,1,2,Волоколамская:16–20 мин.;Мякинино:от 31 мин.;Тушинская:от 31 мин.,Другое,1065000,150,13.878486296092358
7,Kia Quoris 3.8 AT,2016,I рестайлинг 2,134000,2,3.8 AT,3.8,0,Автомат,Задний,Седан,Коричневый,Возможен,ниже,2,13,3,Южная:11–15 мин.;Чертановская:21–30 мин.;Пражская:21–30 мин.,Другое,1499000,334,14.22030944419592
8,Hyundai ix35 2.0 AT,2010,I,214973,3,2.0 AT,2.0,0,Автомат,Передний,Внедорожник,Белый,Не интересует,выше,3,2,4,Народное Ополчение:6–10 мин.;Хорошёво:11–15 мин.;Хорошёвская:21–30 мин.,Оригинал,1170000,150,13.972515161474428
9,Citroen C4 1.6 AT,2011,II,136300,2,1.6 AT,1.6,0,Автомат,Передний,Хэтчбек,Коричневый,Не интересует,выше,2,1,2,Перово:16–20 мин.;Новогиреево:16–20 мин.;Рязанский проспект:от 31 мин.,Другое,755000,120,13.534474352733595
10,Kia Rio 1.6 AT,2017,IV,102000,1,1.6 AT,1.6,0,Автомат,Передний,Седан,Чёрный,Возможен,ниже,1,5,2,Волоколамская:16–20 мин.;Мякинино:от 31 мин.;Тушинская:от 31 мин.,Другое,1055000,123,13.869052272759154
11,Volkswagen Tiguan 1.4 AMT,2019,II,38000,1,1.4 TSI DSG,1.4,0,Робот,Передний,Внедорожник,Коричневый,Не интересует,выше,1,2,1,Юго-Восточная:11–15 мин.;Косино:21–30 мин.;Лермонтовский проспект:21–30 мин.,Электронный,2790000,150,14.841552512220423
12,Lexus LX 5.7 AT,2012,J200 рестайлинг,210000,3,LX 570 5.7 4WD AT,5.7,0,Автомат,Полный,Внедорожник,Чёрный,Не интересует,выше,2,12,2,Улица Горчакова:от 31 мин.;Бунинская аллея:от 31 мин.;Бульвар адмирала Ушакова:от 31 мин.,Оригинал,4390000,367,15.29484001284176
13,Iveco Daily 3.0 MT,2017,VI,200000,2,3.0 D MT,3.0,1,Механика,Задний,Van,Белый,Не интересует,выше,2,5,3,Улица Старокачаловская:до 5 мин.;Бульвар Дмитрия Донского:до 5 мин.;Лесопарковая:21–30 мин.,Оригинал,3600000,146,15.096444681204076
14,MINI Cooper S 2.0 AT,2014,III,110000,4+,2.0 AT,2.0,0,Автомат,Передний,Хэтчбек,Синий,Возможен,выше,4,41,4,Селигерская:до 5 мин.;Яхромская:16–20 мин.;Верхние Лихоборы:16–20 мин.,Оригинал,1750000,192,14.375126917328105
15,Toyota Land Cruiser Prado 3.0 AT,2015,150 рестайлинг,140000,1,3.0 D AT,3.0,1,Автомат,Полный,Внедорожник,Белый,Возможен,соответствует,1,27,1,Южная:11–15 мин.;Чертановская:21–30 мин.;Пражская:21–30 мин.,Другое,3099000,173,14.946590359454571
16,Hyundai Grand Starex 2.5 AT,2011,I,170000,4+,2.5 CRDi AT,2.5,1,Автомат,Задний,Minivan,Чёрный,Возможен,выше,4,5,2,Южная:6–10 мин.;Пражская:6–10 мин.;Улица академика Янгеля:от 31 мин.,Другое,1620000,145,14.297937324492327
17,Nissan X-Trail 1.5 CVT,2021,IV,12409,1,1.5 4WD CVT,1.5,0,Вариатор,Полный,Внедорожник,Серый,другое,нет оценки,2,5,2,Варшавская:16–20 мин.;Нагорная:21–30 мин.;Нахимовский проспект:21–30 мин.,Другое,3450000,204,15.053885078862573
18,Mercedes-Benz M-класс 3.0 AT,2011,W164 рестайлинг,184000,4+,ML 300d 3.0 4MATIC 7G-Tronic,3.0,1,Автомат,Полный,Внедорожник,Серый,Возможен,соответствует,4,47,7,Новохохловская:11–15 мин.;Нижегородская:21–30 мин.;Волгоградский проспект:от 31 мин.,Оригинал,1450000,190,14.187074804051692
