title,price,link
"Kia K900 3.3 AT, 2019, 91 037 км, с пробегом, цена 2 999 000 руб. - Автомобили в Москве",2 999 000 ₽,https://www.avito.ru/moskva/avtomobili/kia_k900_3.3_at_2019_91_037_km_4019323536
"Mercedes-Benz V-класс 2.1 AT, 2017, 95 250 км, с пробегом, цена 5 650 000 руб. - Автомобили в Москве",5 650 000 ₽,https://www.avito.ru/moskva/avtomobili/mercedes-benz_v-klass_2.1_at_2017_95_250_km_3849282278
"Opel Astra GTC 1.4 AT, 2013, 113 000 км, с пробегом, цена 699 000 руб. - Автомобили в Москве",699 000 ₽,https://www.avito.ru/moskva/avtomobili/opel_astra_gtc_1.4_at_2013_113_000_km_3936956712
"Volkswagen Tiguan 2.0 AT, 2015, 165 000 км, с пробегом, цена 1 195 000 руб. - Автомобили в Москве",1 195 000 ₽,https://www.avito.ru/moskva/avtomobili/volkswagen_tiguan_2.0_at_2015_165_000_km_4055882258
"Ford Kuga 1.5 AT, 2018, 103 000 км, с пробегом, цена 1 780 000 руб. - Автомобили в Москве",1 780 000 ₽,https://www.avito.ru/moskva/avtomobili/ford_kuga_1.5_at_2018_103_000_km_3897446915
"Kia Ceed 1.6 AT, 2015, 63 000 км, с пробегом, цена 935 000 руб. - Автомобили в Москве",935 000 ₽,https://www.avito.ru/moskva/avtomobili/kia_ceed_1.6_at_2015_63_000_km_3941456208
"Kia Sportage 2.0 AT, 2012, 155 000 км, с пробегом, цена 1 065 000 руб. - Автомобили в Москве",1 065 000 ₽,https://www.avito.ru/moskva/avtomobili/kia_sportage_2.0_at_2012_155_000_km_4056248047
"Kia Quoris 3.8 AT, 2016, 134 000 км, с пробегом, цена 1 499 000 руб. - Автомобили в Москве",1 499 000 ₽,https://www.avito.ru/moskva/avtomobili/kia_quoris_3.8_at_2016_134_000_km_3936731248
"Hyundai ix35 2.0 AT, 2010, 214 973 км, с пробегом, цена 1 170 000 руб. - Автомобили в Москве",1 170 000 ₽,https://www.avito.ru/moskva/avtomobili/hyundai_ix35_2.0_at_2010_214_973_km_4106203698
"Citroen C4 1.6 AT, 2011, 136 300 км, с пробегом, цена 755 000 руб. - Автомобили в Москве",755 000 ₽,https://www.avito.ru/moskva/avtomobili/citroen_c4_1.6_at_2011_136_300_km_3848792405
"Kia Rio 1.6 AT, 2017, 102 000 км, с пробегом, цена 1 055 000 руб. - Автомобили в Москве",1 055 000 ₽,https://www.avito.ru/moskva/avtomobili/kia_rio_1.6_at_2017_102_000_km_4056160107
"Volkswagen Tiguan 1.4 AMT, 2019, 38 000 км, с пробегом, цена 2 790 000 руб. - Автомобили в Москве",2 790 000 ₽,https://www.avito.ru/moskva/avtomobili/volkswagen_tiguan_1.4_amt_2019_38_000_km_4058926290
"Lexus LX 5.7 AT, 2012, 210 000 км, с пробегом, цена 4 390 000 руб. - Автомобили в Москве",4 390 000 ₽,https://www.avito.ru/moskva/avtomobili/lexus_lx_5.7_at_2012_210_000_km_3796919480
"Iveco Daily 3.0 MT, 2017, 200 000 км, с пробегом, цена 3 600 000 руб. - Автомобили в Москве",3 600 000 ₽,https://www.avito.ru/moskva/avtomobili/iveco_daily_3.0_mt_2017_200_000_km_4005339394
"MINI Cooper S 2.0 AT, 2014, 110 000 км, с пробегом, цена 1 750 000 руб. - Автомобили в Москве",1 750 000 ₽,https://www.avito.ru/moskva/avtomobili/mini_cooper_s_2.0_at_2014_110_000_km_4004060385
"Toyota Land Cruiser Prado 3.0 AT, 2015, 140 000 км, с пробегом, цена 3 099 000 руб. - Автомобили в Москве",3 099 000 ₽,https://www.avito.ru/moskva/avtomobili/toyota_land_cruiser_prado_3.0_at_2015_140_000_km_3936757092
"Hyundai Grand Starex 2.5 AT, 2011, 170 000 км, с пробегом, цена 1 620 000 руб. - Автомобили в Москве",1 620 000 ₽,https://www.avito.ru/moskva/avtomobili/hyundai_grand_starex_2.5_at_2011_170_000_km_3941371248
"Nissan X-Trail 1.5 CVT, 2021, 12 409 км, с пробегом, цена 3 450 000 руб. - Автомобили в Москве",3 450 000 ₽,https://www.avito.ru/moskva/avtomobili/nissan_x-trail_1.5_cvt_2021_12_409_km_3527714257
"Mercedes-Benz M-класс 3.0 AT, 2011, 184 000 км, с пробегом, цена 1 450 000 руб. - Автомобили в Москве",1 450 000 ₽,https://www.avito.ru/moskva/avtomobili/mercedes-benz_m-klass_3.0_at_2011_184_000_km_3836683582
"LiXiang L9 1.5 AT, 2024, 1 км, с пробегом, цена 8 510 000 руб. - Автомобили в Москве",8 510 000 ₽,https://www.avito.ru/moskva/avtomobili/lixiang_l9_1.5_at_2024_1_km_3923891568
"Mercedes-Benz GL-класс 3.0 AT, 2013, 191 000 км, с пробегом, цена 3 245 000 руб. - Автомобили в Москве",3 245 000 ₽,https://www.avito.ru/moskva/avtomobili/mercedes-benz_gl-klass_3.0_at_2013_191_000_km_3765128482
"Land Rover Discovery 3.0 AT, 2017, 102 000 км, с пробегом, цена 3 700 000 руб. - Автомобили в Москве",3 700 000 ₽,https://www.avito.ru/moskva/avtomobili/land_rover_discovery_3.0_at_2017_102_000_km_3877744659
